Policy,Party,Cost,Status,Current,Capital,Groupings,Notes
Defective Homes Remediation - Cash Limited,Labour,125000000,Existing,0,125000000,Defects,
Defective Homes Remediation - Cash Limited,Social Democrats,150000000,Existing,0,150000000,Defects,
Defective Homes Remediation - Cash Limited,People Before Profit,510000000,Existing,0,510000000,Defects,
Housing & Sustainable Communities Agency,Fianna Fáil Fine Gael Green Party,17538000,Existing,17538000,0,Other,
Housing & Sustainable Communities Agency,Sinn Féin,17538000,Existing,17538000,0,Other,
Housing & Sustainable Communities Agency,Labour,17538000,Existing,17538000,0,Other,
Housing & Sustainable Communities Agency,Social Democrats,17538000,Existing,17538000,0,Other,
Housing & Sustainable Communities Agency,People Before Profit,17538000,Existing,17538000,0,Other,
Residential Tenancies Board,Fianna Fáil Fine Gael Green Party,13568000,Existing,13568000,0,Other,
Residential Tenancies Board,Sinn Féin,13568000,Existing,13568000,0,Other,
Residential Tenancies Board,Labour,13568000,Existing,13568000,0,Other,
Residential Tenancies Board,Social Democrats,13568000,Existing,13568000,0,Other,
Residential Tenancies Board,People Before Profit,13568000,Existing,13568000,0,Other,
Rented Accomodation Inspection,Fianna Fáil Fine Gael Green Party,9000000,Existing,9000000,0,Other,
Rented Accomodation Inspection,Sinn Féin,9000000,Existing,9000000,0,Other,
Rented Accomodation Inspection,Labour,9000000,Existing,9000000,0,Other,
Rented Accomodation Inspection,Social Democrats,9000000,Existing,9000000,0,Other,
Rented Accomodation Inspection,People Before Profit,9000000,Existing,9000000,0,Other,
Approved Housing Body Regulatory Authority,Fianna Fáil Fine Gael Green Party,3355000,Existing,3355000,0,Other,
Approved Housing Body Regulatory Authority,Sinn Féin,3355000,Existing,3355000,0,Other,
Approved Housing Body Regulatory Authority,Labour,3355000,Existing,3355000,0,Other,
Approved Housing Body Regulatory Authority,Social Democrats,3355000,Existing,3355000,0,Other,
Approved Housing Body Regulatory Authority,People Before Profit,3355000,Existing,3355000,0,Other,
Planned Maintenance/Voids,Fianna Fáil Fine Gael Green Party,31000000,Existing,0,31000000,Voids,
Planned Maintenance/Voids,Sinn Féin,31000000,Existing,0,31000000,Voids,
Planned Maintenance/Voids,Labour,40000000,Existing,0,40000000,Voids,
Planned Maintenance/Voids,Social Democrats,31000000,Existing,0,31000000,Voids,
Planned Maintenance/Voids,People Before Profit,31000000,Existing,0,31000000,Voids,
Cost Rental Equity Loan,Fianna Fáil Fine Gael Green Party,100000000,Existing,0,100000000,Cost rental / Affordable purchase,
Cost Rental Equity Loan,Sinn Féin,295000000,Existing,0,295000000,Cost rental / Affordable purchase,
Cost Rental Equity Loan,Labour,100000000,Existing,0,100000000,Cost rental / Affordable purchase,
Cost Rental Equity Loan,Social Democrats,100000000,Existing,0,100000000,Cost rental / Affordable purchase,
Cost Rental Equity Loan,People Before Profit,100000000,Existing,0,100000000,Cost rental / Affordable purchase,
Disabled Persons Grant Scheme/Improvements/Remedials,Fianna Fáil Fine Gael Green Party,25000000,Existing,0,25000000,Disadvantaged/vulnerable groups,
Disabled Persons Grant Scheme/Improvements/Remedials,Sinn Féin,50000000,Existing,0,50000000,Disadvantaged/vulnerable groups,
Disabled Persons Grant Scheme/Improvements/Remedials,Labour,25000000,Existing,0,25000000,Disadvantaged/vulnerable groups,
Disabled Persons Grant Scheme/Improvements/Remedials,Social Democrats,50000000,Existing,0,50000000,Disadvantaged/vulnerable groups,
Disabled Persons Grant Scheme/Improvements/Remedials,People Before Profit,25000000,Existing,0,25000000,Disadvantaged/vulnerable groups,
First Home Scheme,Fianna Fáil Fine Gael Green Party,50000000,Existing,0,50000000,Cost rental / Affordable purchase,
First Home Scheme,Sinn Féin,-50000000,Removing,0,-50000000,Cost rental / Affordable purchase,
First Home Scheme,Labour,50000000,Planned for reduction,0,50000000,Cost rental / Affordable purchase,
First Home Scheme,Social Democrats,50000000,Existing,0,50000000,Cost rental / Affordable purchase,
First Home Scheme,People Before Profit,50000000,Existing,0,50000000,Cost rental / Affordable purchase,
Affordable Housing Fund,Fianna Fáil Fine Gael Green Party,100000000,Existing,0,100000000,Cost rental / Affordable purchase,
Affordable Housing Fund,Sinn Féin,174200000,Existing,0,174200000,Cost rental / Affordable purchase,
Affordable Housing Fund,Labour,100000000,Existing,0,100000000,Cost rental / Affordable purchase,
Affordable Housing Fund,Social Democrats,100000000,Existing,0,100000000,Cost rental / Affordable purchase,
Affordable Housing Fund,People Before Profit,100000000,Existing,0,100000000,Cost rental / Affordable purchase,
Croí Cónaithe Fund,Fianna Fáil Fine Gael Green Party,50000000,Existing,0,50000000,Private housing subsidies,
Croí Cónaithe Fund,Sinn Féin,-50000000,Removing,0,-410000000,Private housing subsidies,
Croí Cónaithe Fund,Labour,50000000,Existing,0,50000000,Private housing subsidies,
Croí Cónaithe Fund,Social Democrats,-50000000,Removing,0,-410000000,Private housing subsidies,
Croí Cónaithe Fund,People Before Profit,50000000,Existing,0,50000000,Private housing subsidies,
Social Housing PPP Programme,Fianna Fáil Fine Gael Green Party,30000000,Existing,0,30000000,PPP new build social housing,
Social Housing PPP Programme,Sinn Féin,30000000,Planned for removal,0,30000000,PPP new build social housing,
Social Housing PPP Programme,Labour,30000000,Existing,0,30000000,PPP new build social housing,
Social Housing PPP Programme,Social Democrats,30000000,Existing,0,30000000,PPP new build social housing,
Social Housing PPP Programme,People Before Profit,30000000,Existing,0,30000000,PPP new build social housing,
Ukraine Measures,Fianna Fáil Fine Gael Green Party,5000000,Existing,5000000,0,Disadvantaged/vulnerable groups,
Ukraine Measures,Sinn Féin,5000000,Existing,5000000,0,Disadvantaged/vulnerable groups,
Ukraine Measures,Labour,5000000,Existing,5000000,0,Disadvantaged/vulnerable groups,
Ukraine Measures,Social Democrats,5000000,Existing,5000000,0,Disadvantaged/vulnerable groups,
Ukraine Measures,People Before Profit,5000000,Existing,5000000,0,Disadvantaged/vulnerable groups,
Secure Tenancy Affordable Rental Scheme (STAR),Fianna Fáil Fine Gael Green Party,14600000,Existing,0,14600000,Cost rental / Affordable purchase,
Secure Tenancy Affordable Rental Scheme (STAR),Sinn Féin,14600000,Existing,0,14600000,Cost rental / Affordable purchase,
Secure Tenancy Affordable Rental Scheme (STAR),Labour,14600000,Existing,0,14600000,Cost rental / Affordable purchase,
Secure Tenancy Affordable Rental Scheme (STAR),Social Democrats,14600000,Existing,0,14600000,Cost rental / Affordable purchase,
Secure Tenancy Affordable Rental Scheme (STAR),People Before Profit,14600000,Existing,0,14600000,Cost rental / Affordable purchase,
Other Services,Fianna Fáil Fine Gael Green Party,5220000,Existing,5220000,0,Other,
Other Services,Sinn Féin,5220000,Existing,5220000,0,Other,
Other Services,Labour,5220000,Existing,5220000,0,Other,
Other Services,Social Democrats,5220000,Existing,5220000,0,Other,
Other Services,People Before Profit,5220000,Existing,5220000,0,Other,
Social Housing Stock Response Maintenance Fund,Fianna Fáil Fine Gael Green Party,0,Not proposed,0,0,Defects,
Social Housing Stock Response Maintenance Fund,Sinn Féin,50000000,New,0,50000000,Defects,
Social Housing Stock Response Maintenance Fund,Labour,0,Not proposed,0,0,Defects,
Social Housing Stock Response Maintenance Fund,Social Democrats,0,Not proposed,0,0,Defects,
Social Housing Stock Response Maintenance Fund,People Before Profit,0,Not proposed,0,0,Defects,
Establish Solar PV Scheme for local authority homes,Fianna Fáil Fine Gael Green Party,0,Not proposed,0,0,Environment,
Establish Solar PV Scheme for local authority homes,Sinn Féin,1500000,New,0,1500000,Environment,
Establish Solar PV Scheme for local authority homes,Labour,0,Not proposed,0,0,Environment,
Establish Solar PV Scheme for local authority homes,Social Democrats,0,Not proposed,0,0,Environment,
Establish Solar PV Scheme for local authority homes,People Before Profit,0,Not proposed,0,0,Environment,
Participative planning pilot scheme,Fianna Fáil Fine Gael Green Party,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Participative planning pilot scheme,Sinn Féin,500000,New,500000,0,Disadvantaged/vulnerable groups,
Participative planning pilot scheme,Labour,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Participative planning pilot scheme,Social Democrats,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Participative planning pilot scheme,People Before Profit,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Tenant empowerment and participation fund,Fianna Fáil Fine Gael Green Party,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Tenant empowerment and participation fund,Sinn Féin,5000000,New,5000000,0,Disadvantaged/vulnerable groups,
Tenant empowerment and participation fund,Labour,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Tenant empowerment and participation fund,Social Democrats,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Tenant empowerment and participation fund,People Before Profit,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Disability inclusion fund,Fianna Fáil Fine Gael Green Party,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Disability inclusion fund,Sinn Féin,7000000,New,7000000,0,Disadvantaged/vulnerable groups,
Disability inclusion fund,Labour,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Disability inclusion fund,Social Democrats,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Disability inclusion fund,People Before Profit,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
New 'Housing First for Families' programme,Fianna Fáil Fine Gael Green Party,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
New 'Housing First for Families' programme,Sinn Féin,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
New 'Housing First for Families' programme,Labour,4000000,New,0,4000000,Disadvantaged/vulnerable groups,
New 'Housing First for Families' programme,Social Democrats,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
New 'Housing First for Families' programme,People Before Profit,0,Not proposed,0,0,Disadvantaged/vulnerable groups,
Direct state investment in student accomodation,Fianna Fáil Fine Gael Green Party,0,Not proposed,0,0,Cost rental / Affordable purchase,
Direct state investment in student accomodation,Sinn Féin,0,Not proposed,0,0,Cost rental / Affordable purchase,
Direct state investment in student accomodation,Labour,100000000,New,0,100000000,Cost rental / Affordable purchase,
Direct state investment in student accomodation,Social Democrats,0,Not proposed,0,0,Cost rental / Affordable purchase,
Direct state investment in student accomodation,People Before Profit,0,Not proposed,0,0,Cost rental / Affordable purchase,
Create fund to compulsory purchase and renovate derelict houses,Fianna Fáil Fine Gael Green Party,0,Not proposed,0,0,Voids,
Create fund to compulsory purchase and renovate derelict houses,Sinn Féin,0,Not proposed,0,0,Voids,
Create fund to compulsory purchase and renovate derelict houses,Labour,0,Not proposed,0,0,Voids,
Create fund to compulsory purchase and renovate derelict houses,Social Democrats,100000000,New,0,100000000,Voids,
Create fund to compulsory purchase and renovate derelict houses,People Before Profit,0,Not proposed,0,0,Voids,
Set up state construction company,Fianna Fáil Fine Gael Green Party,0,Not proposed,0,0,State construction company,
Set up state construction company,Sinn Féin,0,Not proposed,0,0,State construction company,
Set up state construction company,Labour,0,Not proposed,0,0,State construction company,
Set up state construction company,Social Democrats,0,Not proposed,0,0,State construction company,
Set up state construction company,People Before Profit,500000000,New,0,500000000,State construction company,
