Name,Definition,Type,MyDefinition,OnlineDefinition,Source,,,,
Estate Regeneration and Refurbishment,mydefinition,Policy,,,,,,,
Energy Efficiency - Retrofitting,mydefinition,Policy,,,,,,,
Repair and Leasing Scheme,mydefinition,Policy,"Funds the repairs of privately owned vacant properties, which are then to be used as social housing. The property owner then enters into a lease arrangement where the value of the repairs is offset incrementally from this cost over a defined period, before regaining full ownership of the property.","Subject to the suitability of the property for social housing, the scheme provides for the cost of any necessary repairs to a vacant dwelling to be met upfront by the local authority or AHB. The property owner then enters into a lease arrangement with the local authority or AHB and the value of the repairs is offset incrementally",,,,,
Private Housing Grants,mydefinition,Policy,,,,,,,
Morgage Allowances,mydefinition,Policy,,Assists householders who are tenants or tenant purchasers of local authority houses to become owner-occupiers of other dwellings,https://www.gov.ie/en/service/b66ea-mortgage-allowance-scheme/,,,,
Affordable Housing/Shared Ownership Subsidy,mydefinition,Policy,,,,,,,
Local Infrastructure Housing Activation Fund,mydefinition,Policy,,,,,,,
Defective Homes Remediation - Cash Limited,mydefinition,Policy,,Funds work to fix emergency fire safety issues in apartments and duplexes that were built between 1991 and 2013.,https://www.citizensinformation.ie/en/housing/housing-grants-and-schemes/local-authority-housing-grants-and-supports/scheme-to-fix-defects-in-apartments-and-duplexes/,,,,
Housing & Sustainable Communities Agency,mydefinition,Policy,,,,,,,
Residential Tenancies Board,mydefinition,Policy,,,,,,,
Rented Accomodation Inspection,mydefinition,Policy,,,,,,,
Approved Housing Body Regulatory Authority,mydefinition,Policy,,,,,,,
Planned Maintenance/Voids,mydefinition,Policy,,,,,,,
Cost Rental Equity Loan,mydefinition,Policy,,,,,,,
Disabled Persons Grant Scheme/Improvements/Remedials,mydefinition,Policy,,"Assists people with a disability to have necessary adaptations, repairs or improvement works carried out in order to make their accommodation more suitable for their needs.",https://www.gov.ie/en/service/6636c-housing-adaptation-grants-for-older-people-and-people-with-a-disability/,,,,
First Home Scheme,mydefinition,Policy,Funding to aid first time buyers and self-builders of private houses.,"Aims to bridge the gap for eligible purchasers between their deposit and mortgage, and the price of new home sold through the private market",,,,,
Affordable Housing Fund,mydefinition,Policy,,,,,,,
Croí Cónaithe Fund,mydefinition,Policy,Funding to support the building of private apartments for sale to owner-occupiers.,"A fund to support the building of apartments for sale to owner-occupiers, where the cost of development is greater than the market sale price.",https://www.gov.ie/en/publication/883b1-croi-conaithe-cities-scheme/,,,,
Social Housing PPP Programme,mydefinition,Policy,"Under the social housing PPP programme, local authorities enter into an agreement with private developers where new properties will be built, fully funded by the private developer, and rented out to the loval authorities. These properties will then be used for social housing. After a set time, ownership of these properties changes to the local authority, who will no longer have to pay rent.","A public-private partnership (PPP) is an arrangement between a public authority and a private partner designed to deliver a public infrastructure project or service under a long-term contract. In the case of this PPP project, the private partner will finance and construct the homes, then provide maintenance and tenancy management services for a 25 year service period with the homes maintained to a pre-defined standard. The homes remain in local authority ownership",https://www.gov.ie/en/press-release/c2535-almost-650-new-social-homes-across-dublin-city-galway-limerick-and-wexford-to-be-delivered-in-new-phase-of-ppp-programme/,,,,
Ukraine Measures,mydefinition,Policy,,,,,,,
Secure Tenancy Affordable Rental Scheme (STAR),mydefinition,Policy,,,,,,,
Other Services,mydefinition,Policy,,,,,,,
New social housing,Policies which fund the building or acquisition of properties for use as social housing.,Grouping,Policies which fund the building or acquisition of properties for use as social housing.,,,,,,
Cost rental / Affordable purchase,Policies which fund the building or acquisition of properties for rent or sale at cost,Grouping,Policies which fund the building or acquisition of properties for rent or sale at cost,,,,,,
Private housing subsidies,Policies which fund rent supplements paid to private landlords,Grouping,Rent supplement paid by local authorities to the landlord,,,,,,
Disadvantaged/vulnerable groups,Policies which provide support for disadvantaged groups such as homeless or disabled individuals,Grouping,Policies which aid disadvantaged groups such as homeless or disabled individuals,,,,,,
Environment,Policies which aim to reduce environmental impact of housing,Grouping,Policies which aim to reduce environmental impact of houses,,,,,,
Voids,Policies which fund the refurbishment of void units to bring them back into use,Grouping,Policies which fund the refurbishment of void units to bring them back to use,,,,,,
Defects,Policies which fund the remediation of construction defects,Grouping,Policies which fund the remediation of construction defects,,,,,,
Subsidies for new build private housing,Policies which support the construction of private housing,Grouping,Policies which support the construction of private housing,,,,,,
PPP new build social housing,Policies which fund the construction of new social housing through an arrangement between a public authority and a private partner,Grouping,Policies which fund the construction of new social housing through an arrangement between a public authority and a private partner,,,,,,
State construction company,Funding towards the creation of a public construction company,Grouping,Funding towards the creation of a public construction company,,,,,,
Other,Miscellaneous policies,Grouping,Miscellaneous policies,,,,,,
Existing,Policies that have been proposed by the incumbent parties,Status,Policies that have been proposed by the incumbent party(s),,,,,,
Planned for reduction,Policies that have been planned for a reduction in expenditure in the future,Status,Policies that have been planned for a reduction in expenditure in the future,,,,,,
Planned for removal,Policies that have been planned for removal in the future,Status,Policies that have been planned for removal in the future,,,,,,
Removing,"Policies that are to be removed (Note that this is a lack of expenditure, not a reduction)",Status,"Policies that are to be removed (Note that this is a lack of expenditure, not a reduction)",,,,,,
Not proposed,Policies that have not been proposed by this party,Status,Policies that have not been proposed by this party,,,,,,
Proposed,Policies that have been proposed but not yet costed,Status,Policies that have been proposed but not yet costed,,,,,,
New,Policies that have not been proposed by the incumbent parties,Status,Policies that have not been proposed by the incumbent party(s),,,,,,
Current,"A single-use purchase (e.g. paying rent, buying groceries).",Terms,,,,,,,
Capital,"The creation or purchasing of an asset where value can vary over time (e.g. buying a house, purchasing stock in a company).",Terms,,,,,,,
